No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA,40.71B,33.1,138.93,0.86%,444418.0
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,6.76B,0.0,37.67,2.13%,4570106.0
3,AAA,AXS First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,0.0,25.16,0.07%,4490.0
4,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,0.0,23.1,-0.28%,3215517.0
5,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,27.99M,0.0,0.89,2.30%,14326.0
6,AACI,Armada Acquisition Corp I,Financial,Shell Companies,USA,94.42M,0.0,11.7,1.47%,78277.0
7,AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,663.75M,39.25,10.62,0.05%,28690.0
8,AADI,Aadi Bioscience Inc,Healthcare,Biotechnology,USA,44.56M,0.0,1.82,3.71%,360592.0
9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,0.0,61.88,0.65%,744.0
10,AAGR,African Agriculture Holdings Inc,Consumer Defensive,Farm Products,USA,19.55M,0.0,0.34,2.39%,106286.0
11,AAL,American Airlines Group Inc,Industrials,Airlines,USA,9.17B,23.43,13.98,0.74%,23808438.0
12,AAMC,Altisource Asset Management Corp,Financial,Mortgage Finance,USA,7.55M,0.0,2.96,1.72%,18479.0
13,AAME,Atlantic American Corp.,Financial,Insurance - Life,USA,38.36M,0.0,1.88,-4.05%,1520.0
14,AAN,Aarons Company Inc,Industrials,Rental & Leasing Services,USA,225.87M,91.87,7.18,1.49%,197557.0
15,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,393.16M,0.0,10.24,-5.64%,1670557.0
16,AAON,AAON Inc.,Industrials,Building Products & Equipment,USA,7.68B,43.91,93.6,2.69%,643226.0
17,AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA,4.49B,101.63,75.25,0.15%,889717.0
18,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,0.0,17.79,5.33%,170630.0
19,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,0.0,22.41,-2.63%,575653.0
20,AAPL,Apple Inc,Technology,Consumer Electronics,USA,2683.72B,27.04,173.79,2.66%,52693041.0
21,AAPR,Innovator Equity Defined Protection ETF - 2 Yr To April 2026,Financial,Exchange Traded Fund,USA,-,0.0,24.47,0.06%,42131.0
22,AAPU,Direxion Daily AAPL Bull 1.5X Shares,Financial,Exchange Traded Fund,USA,-,0.0,22.93,5.38%,647310.0
23,AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,-,0.0,20.72,5.28%,29309.0
24,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,0.0,23.76,2.17%,261.0
25,AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.32B,25.87,21.67,2.05%,108679.0
26,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,0.0,68.9,0.79%,182130.0
27,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.76B,13.91,33.66,0.30%,312653.0
28,ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,USA,72.95M,0.0,1.33,-1.12%,338730.0
29,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,285.08B,47.86,161.01,0.87%,4222117.0
30,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.35B,11.82,48.49,1.27%,264762.0
31,ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1.12B,0.0,3.82,1.46%,969063.0
32,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Financial,Exchange Traded Fund,USA,-,0.0,26.09,0.50%,1765.0
33,ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,94.26M,0.0,3.44,5.67%,2008735.0
34,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,0.0,29.94,0.14%,47278.0
35,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,36.93B,12.79,2.35,0.64%,5647345.0
36,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4.45B,7.95,218.32,-1.65%,83808.0
37,ABIO,ARCA biopharma Inc,Healthcare,Biotechnology,USA,49.74M,0.0,3.43,-4.19%,227983.0
38,ABL,Abacus Life Inc,Financial,Insurance - Life,USA,762.43M,70.58,11.97,0.34%,14405.0
39,ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,61.96M,11.3,1.48,-6.96%,63707.0
40,ABM,ABM Industries Inc.,Industrials,Specialty Business Services,USA,2.79B,11.28,44.13,0.20%,123377.0
41,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,103.03B,22.37,161.8,-1.48%,1606759.0
42,ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,192.56M,0.0,3.2,1.10%,240929.0
43,ABR,Arbor Realty Trust Inc.,Real Estate,REIT - Mortgage,USA,2.46B,7.44,13.06,1.89%,1923183.0
44,ABSI,Absci Corp,Healthcare,Biotechnology,USA,538.83M,0.0,4.76,4.04%,546998.0
45,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,185.99B,33.36,107.19,-0.32%,2142536.0
46,ABTS,Abits Group Inc,Financial,Capital Markets,China,27.37M,0.0,0.77,-1.92%,2748.0
47,ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,499.96M,0.0,2.77,1.64%,422077.0
48,ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,14.89M,0.0,1.41,-0.70%,1717449.0
49,ABVX,Abivax ADR,Healthcare,Biotechnology,France,991.15M,0.0,15.75,-0.17%,88171.0
50,AC,Associated Capital Group Inc,Financial,Asset Management,USA,698.42M,18.91,32.5,0.53%,2974.0
51,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,3.79B,23.98,78.0,0.85%,94163.0
52,ACAB,Atlantic Coastal Acquisition Corp II,Financial,Shell Companies,USA,91.18M,111.82,11.16,3.62%,16.0
53,ACAC,Acri Capital Acquisition Corp,Financial,Shell Companies,USA,60.70M,81.84,11.22,0.18%,270.0
54,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.78B,0.0,16.9,1.11%,1416147.0
55,ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,100.44M,0.7,6.39,-4.70%,4935715.0
56,ACBA,Ace Global Business Acquisition Ltd,Financial,Shell Companies,Hong Kong,41.95M,0.0,12.23,1.16%,114.0
57,ACCD,Accolade Inc,Healthcare,Health Information Services,USA,632.44M,0.0,8.17,3.55%,981656.0
58,ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,469.11M,0.0,4.91,1.55%,365521.0
59,ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.29B,0.0,8.06,-2.13%,396443.0
60,ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,931.63M,21.16,11.12,-0.63%,92945.0
61,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,0.0,27.65,2.83%,21546.0
62,ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,133.12M,0.0,1.62,-3.57%,951573.0
63,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34.07B,7.82,90.82,-0.09%,1678196.0
64,ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,6.89B,0.0,74.54,1.29%,301259.0
65,ACHL,Achilles Therapeutics Plc ADR,Healthcare,Biotechnology,United Kingdom,31.69M,0.0,0.77,1.49%,352681.0
66,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,1.31B,0.0,4.07,1.37%,2666941.0
67,ACHV,Achieve Life Sciences Inc.,Healthcare,Biotechnology,Canada,157.89M,0.0,4.61,0.00%,32440.0
68,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,11.71B,9.09,20.27,0.72%,666119.0
69,ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,504.77M,1.52,10.56,-1.77%,118385.0
70,ACIO,Aptus Collared Investment Opportunity ETF,Financial,Exchange Traded Fund,USA,-,0.0,35.33,-0.06%,81047.0
71,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,238.08M,0.0,2.4,2.13%,85423.0
72,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,3.52B,29.78,33.08,-0.66%,229034.0
73,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,3.41B,14.06,104.46,1.35%,240861.0
74,ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,2.71B,0.0,50.94,-1.89%,223411.0
75,ACM,AECOM,Industrials,Engineering & Construction,USA,12.75B,209.95,93.76,-0.30%,277670.0
76,ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,1.64B,23.09,26.89,-0.57%,915785.0
77,ACN,Accenture plc,Technology,Information Technology Services,Ireland,190.62B,27.48,303.19,-1.56%,3073053.0
78,ACNB,ACNB Corp.,Financial,Banks - Regional,USA,280.83M,9.55,33.0,-3.40%,3817.0
79,ACNT,Ascent Industries Co,Basic Materials,Steel,USA,105.25M,0.0,10.4,0.10%,4967.0
80,ACON,Aclarion Inc,Healthcare,Health Information Services,USA,2.23M,0.0,0.31,-7.27%,2265752.0
